completion_year	title	road_class_or_number	status	realization_from	realization_to	lat	lon	cost_ex_vat	total_cost	source_dataset	source_url
2025	Oprava silnice III/305 32 Brdo - Hluboká	Silnice III. třídy	Dokončeno	14. 10. 2024	07/2025	49.851078	16.07352	14 037 616 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Oprava silnice III/30532 Brdo - Hluboká, komunikace extravilán	Silnice III. třídy	Dokončeno	04/2025	06/2025	50.0	14.7	19 539 042 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/31113 Jablonné nad Orlicí – Bystřec I.etapa	Silnice III. třídy	Dokončeno	09/2022	08/2023	50.022167	16.607475	41 665 353 Kč	53 757 509 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/31115 Bystřec - kamenolom	Silnice III. třídy	Dokončeno	09/2023	10/2023	50.00646	16.600798	4 114 486 Kč	5 063 858 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Oprava silnice III/3124 Rozsocha – Velká Skrovnice	Silnice III. třídy	Dokončeno	19.4.2022	19.8.2022	50.026066	16.325092	41009366		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Oprava silnice III/3124 Velká Skrovnice – hr.Pk	Silnice III. třídy	Dokončeno	02.08.2021	30.10.2021	50.0	14.7	22470000		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Oprava silnice III/3141 v ul. Družstevní, Letohrad	Silnice III. třídy	Dokončeno	07.10.2021	30.10.2021	50.0	14.7	1840030		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/315 19 Borušov	Silnice III. třídy	Dokončeno	08/2023	12/2023	49.77674	16.736238	12 074 373 Kč	15 101 815 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava silnice III/31519 Svojanov – Maletín	Silnice III. třídy	Dokončeno	2024	2024	49.78859	16.769102	3 228 592 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava silnice III/3152 Zámrsk, žel. přejezd - hřbitov	Silnice III. třídy	Dokončeno	08/2024	08/2024	49.994442	16.135456	1 407 850 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava silnice III/32263 ul. Smetanova, Moravany	Silnice III. třídy	Dokončeno	07/2024	08/2024	49.998783	15.945479	4 066 116 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/322 71 Městec II. etapa	Silnice III. třídy	Dokončeno	07/2023	2023	49.9746	16.00774	5 889 975 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava silnice III/32271 Městec III. etapa	Silnice III. třídy	Dokončeno	05/2024	07/2024	49.976715	16.008299	5 869 574 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Oprava silnice III/32271 Městec IV. etapa	Silnice III. třídy	Dokončeno	04/2025	06/2025	49.97781	16.008745	5 150 742 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava silnice III/3231 Vlčí Habřina	Silnice III. třídy	Dokončeno	09/2024	11/2024	50.08518	15.592621	5 890 007 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/32717 Bílé Vchynice	Silnice III. třídy	Dokončeno	07/2022	01/2023	50.095478	15.438091	6 685 441 Kč	8 447 567 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Oprava silnice III/33773 Miřetice – Dřeveš, I.etapa	Silnice III. třídy	Dokončeno	08/2021	05/2022	49.83327	15.910014	30 750 602 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Oprava silnice III/33775 Miřetice, Na Perku	Silnice III. třídy	Dokončeno	08.11.2021	29.11.2022	50.0	14.7	7330100		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/340 15 Smrkův Týnec	Silnice III. třídy	Dokončeno	06/2023	09/2023	49.895416	15.761163	6 949 107 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Oprava silnice III/34031 Mikulovice	Silnice III. třídy	Dokončeno	4. 8. 2025	12/2025	49.990334	15.779062	10 408 698 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/34311 Kameničky – Chlumětín	Silnice III. třídy	Dokončeno	09/2023	11/2023	49.732567	15.989238	18 310 785 Kč	23 130 446 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/3438 Vortová – hr. Pk.	Silnice III. třídy	Dokončeno	10/2023	11/2023	49.701923	15.945642	8 634 045 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava silnice III/3530 Strakov – Janov, II. etapa	Silnice III. třídy	Dokončeno	09/2024	11/2024	49.86505	16.369356	5 873 989 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava silnice III/35720 Dvořiště – Doubravice	Silnice III. třídy	Dokončeno	12/2023	05/2024	49.87526	16.1065	8 431 134 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/3582, III/3583, III/3584, III/3585 Kočí	Silnice III. třídy	Dokončeno	08/2023	11/2023	49.945736	15.855537	9 787 279 Kč	12 241 302 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava silnice III/3594 Říkovice (Morašice)	Silnice III. třídy	Dokončeno	07/2024	08/2024	49.860157	16.257187	2 971 074 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Oprava silnice III/3598 Poříčí u Litomyšle – Zrnětín	Silnice III. třídy	Dokončeno	15.10.2020	31.05.2021	50.0	14.7	11187251		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/366 12 Jevíčko – Smolná	Silnice III. třídy	Dokončeno	09/2023	10/2023	49.625164	16.686275	12 334 711 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
